epoch,generator_loss,discriminator_loss,val_hit_rate_at_5,val_precision_at_5,val_recall_at_5,val_ndcg_at_5,val_mrr_at_5
1,6.299599143127533,1.3859648079471945,0.11358451463808654,0.022716902928315724,0.11358451463808654,0.0760731966092698,0.06379358795941246
2,6.111715042328695,1.3851909787782628,0.12332500501492383,0.024665001003796577,0.12332500501492383,0.08275066499906922,0.06945645060537763
3,6.052370125814811,1.3845341222846361,0.1281273071951194,0.025625461439891598,0.1281273071951194,0.08610781395774646,0.07233367076626815
4,6.0190361648194255,1.3839887972203386,0.13119951278433714,0.026239902557770912,0.13119951278433714,0.0881471876110377,0.074030457327228
5,5.996090936815489,1.3835512474107394,0.13341664432019387,0.026683328864968072,0.13341664432019387,0.089648673310511,0.07529576697793655
6,5.979016244510784,1.3831459782598814,0.13514236197560336,0.027028472396070053,0.13514236197560336,0.09085015888283612,0.0763259196794916
7,5.965887188503724,1.382837577712104,0.13653799129745636,0.027307598260456905,0.13653799129745636,0.09176625411942779,0.0770803604646036
8,5.955382414557459,1.3825353335719521,0.13747133013573729,0.02749426602812395,0.13747133013573729,0.092308513054691,0.07749563183788657
9,5.946763190597565,1.3823001749691373,0.13861916730995316,0.02772383346298049,0.13861916730995316,0.09318102797336596,0.07827621764861636
10,5.939315360376294,1.382050485618489,0.1397534506359813,0.027950690128199326,0.1397534506359813,0.09400819146840089,0.07900212237027683
11,5.933251774249386,1.3818274946743005,0.1402659251113049,0.02805318502327001,0.1402659251113049,0.09435330425783289,0.07929361583149447
12,5.9276655879677635,1.381617574715608,0.1411951630416726,0.028239032609354366,0.1411951630416726,0.09502502865953051,0.07987927297787328
13,5.922812967418339,1.381448341118477,0.14148834320401016,0.028297668641825292,0.14148834320401016,0.0951419800682141,0.07993940804277905
14,5.9187009314283054,1.38130615265194,0.14217972847541172,0.028435945696113653,0.14217972847541172,0.09565322750942391,0.08039031908610349
15,5.914747162470742,1.381170853244561,0.142714097628577,0.028542819526752933,0.142714097628577,0.09607198109813397,0.08076964264202742
16,5.911148184110833,1.381058565004033,0.14328627854284037,0.028657255709612268,0.14328627854284037,0.09639058000699376,0.0810036909559003
17,5.907884132858955,1.3809060106923117,0.1435854362997633,0.028717087261000335,0.1435854362997633,0.09665119222697165,0.08125140432902712
18,5.904977428006737,1.3807819942460817,0.14392296187309456,0.028784592375670513,0.14392296187309456,0.09689274722177092,0.08146151562025104
19,5.902103179402072,1.3807038294268545,0.14420578550527843,0.02884115710211058,0.14420578550527843,0.09700515009950854,0.08152115371071962
20,5.8994861181855125,1.3805855113791132,0.14475718385232061,0.028951436771525438,0.14475718385232061,0.0974670834638619,0.08194915527526328
21,5.897182916304861,1.380508619087428,0.14491329638067768,0.02898265927719867,0.14491329638067768,0.09753978780997158,0.08199588361494789
22,5.89493274579997,1.3803747675559568,0.14514204363393823,0.02902840872785344,0.14514204363393823,0.09765413126163021,0.08207479481416133
23,5.892920323634246,1.3803279606865069,0.14555352456353482,0.029110704913777548,0.14555352456353482,0.09796305877543204,0.0823479442423868
24,5.890824940459075,1.3802165728038542,0.14549750199102554,0.029099500399275044,0.14549750199102554,0.09790605436890737,0.08229257040107127
25,5.889110342301915,1.3802088914414743,0.14574501611100754,0.029149003223274326,0.14574501611100754,0.09802713376307814,0.08237103907293872
26,5.88719384741137,1.3800975700371059,0.14597167815685458,0.02919433563244637,0.14597167815685458,0.09820733872851252,0.08253779426823778
27,5.885732834416294,1.379995928713494,0.14619535140540896,0.029239070282159847,0.14619535140540896,0.09835878684100682,0.08266358440545285
28,5.88407106172889,1.3799866742233868,0.14620118998616674,0.029240237998311474,0.14620118998616674,0.09836809970719013,0.08267370924589598
29,5.882654362265127,1.3799234480436753,0.14662830997136453,0.029325661995356005,0.14662830997136453,0.09866888572857005,0.08293404507456094
30,5.881125333256275,1.3798780834884965,0.14667474058977173,0.029334948119037984,0.14667474058977173,0.09873870374091771,0.08300956665328649
